AP-001	PCA9685用スタンドオフ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通
AP-002	PCA9685上段なべ小ねじ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通
AP-003	φ2.2 mmドリル刃	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / PR-09 [印刷] (条件付き) 骨格の再印刷 — P-05 で「再印刷」と決まった部品のみ / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目
AP-004	DCクランプ電流計	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-11 [要判断] 股ピッチの実力を測り、低トルク歩容・軽量化・6V対応品を比較する
AP-005	DFPlayer用microSD	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認
AP-006	前90度タブ増厚分のねじ	RV-13 [機構不具合] 頭の7固定穴から外殻へ届く支持柱・受け座を設計する / RV-09 [機構不具合] 頭部内の実サーボケースとポッド梁の干渉を解消する / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ
AP-007	CPUから独立した停止・電源遮断	RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-07 [ファーム] 通常版を無負荷ベンチで確認し、初期脱力・出力方向を検証する / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める
AP-008	無負荷試験の機体支持台	EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / EL-07 [ファーム] 通常版を無負荷ベンチで確認し、初期脱力・出力方向を検証する / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-09 [試験] 通電・中立確認・トリム (サーボ未接続電圧 → 1 本 → 全数 → Web UI Trim) / L-10 [ゲート] 頭無し歩行試験 — 立位→前進→旋回→停止, 転倒なし, 電流・電圧ログ
AP-009	電圧/抵抗/導通テスター	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-010	表面温度測定手段	EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-11 [要判断] 股ピッチの実力を測り、低トルク歩容・軽量化・6V対応品を比較する / RV-07 [試験] 実際の壁数・充填率による脚とポッド支持の強度を確かめる
AP-011	質量測定用はかり	I-01 [測定] 全装備の実重量・支持荷重・重心を測りモデルへ反映する / P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-11 [要判断] 股ピッチの実力を測り、低トルク歩容・軽量化・6V対応品を比較する / RV-07 [試験] 実際の壁数・充填率による脚とポッド支持の強度を確かめる
AP-012	瞬間電圧/PWM記録の計器	EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / EL-07 [ファーム] 通常版を無負荷ベンチで確認し、初期脱力・出力方向を検証する / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-013	試験用電流制限電源	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流
